,created_at,text
142,2021-04-26T15:27:25.000Z,"RT @SawyerMerritt: Tesla’s Stock-Market Devotees Might Get an Earnings Jolt - Bloomberg

""Options pricing suggests Tesla’s stock may fluctu…"
143,2021-04-26T15:27:23.000Z,men who idolise elon musk r red flags
144,2021-04-26T15:27:23.000Z,Thank you #TSLA for finally coming to your senses.. a nigga like me was starting to get worried
145,2021-04-26T15:27:22.000Z,"@garyblack00 @elonmusk Tesla needs valid statistics. Not apples to oranges comparisons like AP miles to non-AP miles. And preferably evaluated by a 3rd party.

It has to be bullet proof to all kinds of scepticism."
146,2021-04-26T15:27:21.000Z,"RT @DeanObeidallah: Elon Musk used his massive platform to undermine the risks posed by COVID, slam COVID safeguards and he opened his Tesl…"
147,2021-04-26T15:27:16.000Z,RT @grisefinance: Our AI scans the top 1000 coins on coingecko runs them through 80 different technical indicators over the past trading da…
148,2021-04-26T15:27:16.000Z,"RT @babadookspinoza: People only hate Elon Musk because he comes from an emerald mining fortune made in apartheid South Africa, he buys ide…"
149,2021-04-26T15:27:15.000Z,"@DilemmaBeats @0xPolygon just get one of each

MATIC to buy

Aventador:         836,747.95
Huracan:           422,158.32
Urus:           440,902.28
Model S P100D:          183,934.37
Tesla Truck Tri:        138,822.14
Tesla 3:       66,163.94
PS5:      993.01
PowerWheels Lambo:      754.68"
150,2021-04-26T15:27:13.000Z,"What if ELON MUSK is an alien who is just trying to get home to his Planet?
#AskTwitter"
151,2021-04-26T15:27:13.000Z,RT @Joe28753: .@Tesla feature request. “I’m being pulled over” voice command. Activate all cameras including the cabin camera and microphon…
152,2021-04-26T15:27:12.000Z,"@wef @algore @hindououmar @FP_Champagne @GovInslee @anishshah21 @borgebrende @amonck All the more reason to support @elonmusk.  He's trying to help fix Earth with @Tesla *and* get us to PlanetB (Mars) with @SpaceX. 
🌎🚀🔴"
153,2021-04-26T15:27:11.000Z,"RT @RBReich: So let me get this straight: Elon Musk and Jeff Bezos want to colonize outer space to save humanity, but they couldn't care le…"
154,2021-04-26T15:27:10.000Z,Elon Musk asked for the definition of “beauty” https://t.co/UpBbYGSYwf
155,2021-04-26T15:27:09.000Z,$TSLA Tesla: What are the issues for Elon Musk's electric car company in today's Q1 earnings? https://t.co/HcJKuk3eI2 @Tesla #TSLA
156,2021-04-26T15:27:08.000Z,"@iliketeslas Ford sold 6.7 million vehicles in 2016, 4.2 million in 2020. Tesla’ profit margin is over 20% per vehicle, Ford was negative 1% last year."
157,2021-04-26T15:27:08.000Z,RT @DriveTeslaca: Ford’s Mike Levine blocks hundreds of Tesla fans after anti-Tesla tweets https://t.co/fQB0IfLbwD
158,2021-04-26T15:27:06.000Z,"RT @RBReich: So let me get this straight: Elon Musk and Jeff Bezos want to colonize outer space to save humanity, but they couldn't care le…"
159,2021-04-26T15:27:05.000Z,"RT @JeffTutorials: Under intense pressure from Tesla, @mrlevine has revealed Ford's 2022 F-150 design!

Totally unique and never see before…"
160,2021-04-26T15:27:03.000Z,"RT @JeffTutorials: Under intense pressure from Tesla, @mrlevine has revealed Ford's 2022 F-150 design!

Totally unique and never see before…"
161,2021-04-26T15:27:02.000Z,"RT @d1rtydan: $tsla earnings on a full moon?

Fu*%ing send it @elonmusk"
162,2021-04-26T15:27:02.000Z,RT @MichaelAusiello: #SNL: Elon Musk Backlash Grows as 2 Cast Members Slam Controversial Hosting Decision https://t.co/F6yBrKMAiX
163,2021-04-26T15:27:02.000Z,"@InsideEVs Step 1: Blocking accounts of endless Tesla owners, even if they never posted to them."
164,2021-04-26T15:27:01.000Z,RT @DriveTeslaca: Ford’s Mike Levine blocks hundreds of Tesla fans after anti-Tesla tweets https://t.co/fQB0IfLbwD
165,2021-04-26T15:27:00.000Z,@BillyM2k Billy I have 420 doge thank you for inventing crypto when it goes to a dollar I will be filthy rich and buy you a Tesla.
166,2021-04-26T15:26:59.000Z,Grimes defending Elon Musk in her Tik Tok comments is a culture defining moment https://t.co/hySN2ixE3z
